# #nrj, cp, cm, Iz0, Iz1
7.500999755899999855e+02 1.882044837944804290e-03 2.341243881253883032e-03 6.334933078798030658e-03 4.591990433090787412e-04
7.502000122099999544e+02 2.812865838842370028e-03 3.995009034717782355e-03 1.021181231034022814e-02 1.182143195875412327e-03
7.502999877900000456e+02 1.437916223920078247e-03 1.058068759805815386e-03 3.743977475588840774e-03 -3.798474641142628606e-04
7.504000244100000145e+02 1.348847741821942873e-03 9.365739061831175258e-03 1.607188020547967860e-02 8.016891320009232602e-03
7.505000000000000000e+02 2.845631029810693352e-03 -4.901535400511045385e-04 3.533216234639383058e-03 -3.335784569861797999e-03
7.505999755899999855e+02 -1.298804939652216037e-03 2.786966513874688557e-03 2.232242361333708781e-03 4.085771453526904594e-03
7.507000122099999544e+02 5.155799366497002857e-03 5.837201863991833134e-03 1.648950184573325095e-02 6.814024974948302768e-04
7.507999877900000456e+02 4.163594078321928107e-04 -2.487952097303393513e-03 -3.107389034206800918e-03 -2.904311505135586269e-03
7.509000244100000145e+02 1.935421005994018536e-03 5.794720872321042389e-03 1.159521281747259019e-02 3.859299866327024070e-03
7.510000000000000000e+02 1.397712819731144465e-03 2.303188750868944562e-03 5.551352355900133866e-03 9.054759311378000972e-04
7.510999755899999855e+02 3.827953717267351674e-03 4.045157202313687250e-03 1.180966637937155839e-02 2.172034850463355760e-04
7.512000122099999544e+02 3.431882949907238620e-03 2.796448773100776962e-03 9.342497584512023806e-03 -6.354341768064616577e-04
7.512999877900000456e+02 1.915863928720711517e-03 2.181247270783290629e-03 6.145666799256003544e-03 2.653833420625791115e-04
7.514000244100000145e+02 2.583421178520554050e-03 1.869793700150557125e-03 6.679822318006666329e-03 -7.136274783699969246e-04
7.515000000000000000e+02 8.025362368240611909e-04 3.284571372559362719e-03 6.130661414075135214e-03 2.482035135735301528e-03
7.515999755899999855e+02 3.749144873004874815e-03 2.573623654064141099e-03 9.484152790603524522e-03 -1.175521218940733716e-03
7.517000122099999544e+02 2.664764603850492200e-03 5.278220376524354364e-03 1.191447747056227115e-02 2.613455772673862164e-03
7.517999877900000456e+02 4.238748117135034826e-03 4.328796022659316470e-03 1.285131620969152608e-02 9.004790552428164341e-05
